Date : 2025-03-06 15:45:46
Directory : /home/kid-a/homeworks/compiler/lab1
Total : 1013 files,  130883 codes, 6244 comments, 21489 blanks, all 158616 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| C++          |        551 |     86,067 |      1,625 |     14,801 |    102,493 |
| C            |        273 |     22,639 |      4,600 |      4,635 |     31,874 |
| Lex          |        177 |     22,056 |          0 |      2,025 |     24,081 |
| Shell Script |         11 |        121 |         19 |         27 |        167 |
| Makefile     |          1 |          0 |          0 |          1 |          1 |
+--------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                               | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                  |      1,013 |    130,883 |      6,244 |     21,489 |    158,616 |
| . (Files)                                                                          |          7 |      2,522 |        450 |        521 |      3,493 |
| .history                                                                           |      1,002 |    127,550 |      4,579 |     20,737 |    152,866 |
| .history (Files)                                                                   |        915 |    126,239 |      2,708 |     20,353 |    149,300 |
| .history/test                                                                      |         87 |      1,311 |      1,871 |        384 |      3,566 |
| test                                                                               |          4 |        811 |      1,215 |        231 |      2,257 |
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                           | language     | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305121850.l                  | Lex          |        107 |          0 |         10 |        117 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305123832.l                  | Lex          |        107 |          0 |         10 |        117 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305123840.l                  | Lex          |        107 |          0 |         10 |        117 |
